filename,answer,background_density,sweep
0.svg,4,0.1,"(2, 0.1)"
1.svg,1,0.1,"(2, 0.1)"
2.svg,3,0.1,"(2, 0.1)"
3.svg,3,0.1,"(2, 0.1)"
4.svg,3,0.1,"(2, 0.1)"
5.svg,1,0.1,"(2, 0.1)"
6.svg,4,0.1,"(2, 0.1)"
7.svg,3,0.1,"(2, 0.1)"
8.svg,3,0.1,"(2, 0.1)"
9.svg,3,0.1,"(2, 0.1)"
10.svg,1,0.3,"(2, 0.3)"
11.svg,1,0.3,"(2, 0.3)"
12.svg,4,0.3,"(2, 0.3)"
13.svg,1,0.3,"(2, 0.3)"
14.svg,3,0.3,"(2, 0.3)"
15.svg,3,0.3,"(2, 0.3)"
16.svg,1,0.3,"(2, 0.3)"
17.svg,3,0.3,"(2, 0.3)"
18.svg,2,0.3,"(2, 0.3)"
19.svg,3,0.3,"(2, 0.3)"
20.svg,3,0.5,"(2, 0.5)"
21.svg,2,0.5,"(2, 0.5)"
22.svg,1,0.5,"(2, 0.5)"
23.svg,3,0.5,"(2, 0.5)"
24.svg,2,0.5,"(2, 0.5)"
25.svg,4,0.5,"(2, 0.5)"
26.svg,3,0.5,"(2, 0.5)"
27.svg,3,0.5,"(2, 0.5)"
28.svg,1,0.5,"(2, 0.5)"
29.svg,2,0.5,"(2, 0.5)"
30.svg,1,0.1,"(6, 0.1)"
31.svg,3,0.1,"(6, 0.1)"
32.svg,3,0.1,"(6, 0.1)"
33.svg,2,0.1,"(6, 0.1)"
34.svg,3,0.1,"(6, 0.1)"
35.svg,1,0.1,"(6, 0.1)"
36.svg,1,0.1,"(6, 0.1)"
37.svg,2,0.1,"(6, 0.1)"
38.svg,3,0.1,"(6, 0.1)"
39.svg,3,0.1,"(6, 0.1)"
40.svg,3,0.3,"(6, 0.3)"
41.svg,3,0.3,"(6, 0.3)"
42.svg,1,0.3,"(6, 0.3)"
43.svg,4,0.3,"(6, 0.3)"
44.svg,1,0.3,"(6, 0.3)"
45.svg,2,0.3,"(6, 0.3)"
46.svg,3,0.3,"(6, 0.3)"
47.svg,3,0.3,"(6, 0.3)"
48.svg,4,0.3,"(6, 0.3)"
49.svg,1,0.3,"(6, 0.3)"
50.svg,4,0.5,"(6, 0.5)"
51.svg,4,0.5,"(6, 0.5)"
52.svg,3,0.5,"(6, 0.5)"
53.svg,2,0.5,"(6, 0.5)"
54.svg,3,0.5,"(6, 0.5)"
55.svg,4,0.5,"(6, 0.5)"
56.svg,4,0.5,"(6, 0.5)"
57.svg,1,0.5,"(6, 0.5)"
58.svg,1,0.5,"(6, 0.5)"
59.svg,3,0.5,"(6, 0.5)"
60.svg,4,0.1,"(10, 0.1)"
61.svg,1,0.1,"(10, 0.1)"
62.svg,1,0.1,"(10, 0.1)"
63.svg,3,0.1,"(10, 0.1)"
64.svg,4,0.1,"(10, 0.1)"
65.svg,1,0.1,"(10, 0.1)"
66.svg,4,0.1,"(10, 0.1)"
67.svg,3,0.1,"(10, 0.1)"
68.svg,3,0.1,"(10, 0.1)"
69.svg,1,0.1,"(10, 0.1)"
70.svg,4,0.3,"(10, 0.3)"
71.svg,4,0.3,"(10, 0.3)"
72.svg,2,0.3,"(10, 0.3)"
73.svg,2,0.3,"(10, 0.3)"
74.svg,3,0.3,"(10, 0.3)"
75.svg,3,0.3,"(10, 0.3)"
76.svg,2,0.3,"(10, 0.3)"
77.svg,1,0.3,"(10, 0.3)"
78.svg,2,0.3,"(10, 0.3)"
79.svg,2,0.3,"(10, 0.3)"
80.svg,2,0.5,"(10, 0.5)"
81.svg,4,0.5,"(10, 0.5)"
82.svg,4,0.5,"(10, 0.5)"
83.svg,3,0.5,"(10, 0.5)"
84.svg,2,0.5,"(10, 0.5)"
85.svg,3,0.5,"(10, 0.5)"
86.svg,2,0.5,"(10, 0.5)"
87.svg,4,0.5,"(10, 0.5)"
88.svg,1,0.5,"(10, 0.5)"
89.svg,4,0.5,"(10, 0.5)"
